State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
Uttar Pradesh,Robertsganj,SONU NIGAM,Independent,6142,2,6144,0.61,Lost
Uttar Pradesh,Robertsganj,CHANDRIKA PRASAD,Janta Kranti Party (Rashtravadi),3732,9,3741,0.37,Lost
Uttar Pradesh,Robertsganj,PRABHUDAYAL,Rashtriya Samaj Dal (R),3470,1,3471,0.34,Lost
Uttar Pradesh,Robertsganj,RAM SHIROMANI,Sardar Patel Siddhant Party,3116,7,3123,0.31,Lost
Uttar Pradesh,Robertsganj,NOTA,None of the Above,19019,13,19032,1.89,Lost
Uttar Pradesh,Saharanpur,IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,Won
Uttar Pradesh,Saharanpur,RAGHAV LAKHANPAL,Bharatiya Janata Party,482120,1305,483425,39.32,Lost
Uttar Pradesh,Saharanpur,MAJID ALI,Bahujan Samaj Party,179994,359,180353,14.67,Lost
Uttar Pradesh,Saharanpur,MOHD INAM,Akhil Bhartiya Parivar Party,5392,8,5400,0.44,Lost
Uttar Pradesh,Saharanpur,SHABNAM,Independent,2370,3,2373,0.19,Lost
Uttar Pradesh,Saharanpur,SHAHBAJ,Independent,1696,2,1698,0.14,Lost
Uttar Pradesh,Saharanpur,RASHID KHAN,Independent,1227,3,1230,0.1,Lost
Uttar Pradesh,Saharanpur,TASMEEM BANO,Independent,883,2,885,0.07,Lost
Uttar Pradesh,Saharanpur,RAJKUMAR,Independent,807,6,813,0.07,Lost
Uttar Pradesh,Saharanpur,KAMRAN,Independent,744,1,745,0.06,Lost
Uttar Pradesh,Saharanpur,NOTA,None of the Above,4559,7,4566,0.37,Lost
Uttar Pradesh,Salempur,RAMASHANKAR RAJBHAR,Samajwadi Party,403616,1856,405472,44.2,Won
Uttar Pradesh,Salempur,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,400489,1410,401899,43.81,Lost
Uttar Pradesh,Salempur,BHIM RAJBHAR,Bahujan Samaj Party,80291,308,80599,8.79,Lost
Uttar Pradesh,Salempur,JAIBAHADUR ALIAS JAIBAHADUR CHAUHAN,Janta Kranti Party (Rashtravadi),8241,22,8263,0.9,Lost
Uttar Pradesh,Salempur,SHREENARAYAN MISHRA,Akhil Bhartiya Sarvjan Hit Party,3878,14,3892,0.42,Lost
Uttar Pradesh,Salempur,SADDAM HUSSAIN,Independent,3210,5,3215,0.35,Lost
Uttar Pradesh,Salempur,SHRIKRISHNA,Independent,2527,5,2532,0.28,Lost
Uttar Pradesh,Salempur,AMRESH THAKUR,Independent,2147,9,2156,0.24,Lost
Uttar Pradesh,Salempur,SURYA PRAKASH GAUTAM,Sardar Patel Siddhant Party,1782,3,1785,0.19,Lost
Uttar Pradesh,Salempur,NOTA,None of the Above,7520,29,7549,0.82,Lost
Uttar Pradesh,Sambhal,ZIA UR REHMAN,Samajwadi Party,570745,416,571161,47.8,Won
Uttar Pradesh,Sambhal,PARMESHWAR LAL SAINI,Bharatiya Janata Party,448983,684,449667,37.63,Lost
Uttar Pradesh,Sambhal,CHAUDHARY SAULAT ALI,Bahujan Samaj Party,152317,143,152460,12.76,Lost
Uttar Pradesh,Sambhal,WASEEM SO MOH SHAMIM,Independent,3863,1,3864,0.32,Lost
Uttar Pradesh,Sambhal,MOHD WASEEM SO MOHD FAREED,Independent,2077,0,2077,0.17,Lost
Uttar Pradesh,Sambhal,JAYGAMUL ISLAM,Janta Shashan Party,1940,2,1942,0.16,Lost
Uttar Pradesh,Sambhal,ANUJ VARSHNEY,Independent,1674,3,1677,0.14,Lost
Uttar Pradesh,Sambhal,MAHANDRA SINGH,Independent,1291,3,1294,0.11,Lost
Uttar Pradesh,Sambhal,SANTOSH,Kisan Kranti Dal,1201,3,1204,0.1,Lost
Uttar Pradesh,Sambhal,DR RASHID,Peace Party,1059,1,1060,0.09,Lost
Uttar Pradesh,Sambhal,TAUFIK AHAMAD,Independent,722,1,723,0.06,Lost
Uttar Pradesh,Sambhal,PAVAN KUMAR,Log Party,636,1,637,0.05,Lost
Uttar Pradesh,Sambhal,NOTA,None of the Above,7213,4,7217,0.6,Lost
Uttar Pradesh,Sant Kabir Nagar,LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488,1207,498695,45.7,Won
Uttar Pradesh,Sant Kabir Nagar,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,405611,914,406525,37.25,Lost
Uttar Pradesh,Sant Kabir Nagar,NADEEM ASHRAF,Bahujan Samaj Party,150549,263,150812,13.82,Lost
Uttar Pradesh,Sant Kabir Nagar,DHEERAJ SRIVASTAV,Pragatisheel Samaj Party,5135,5,5140,0.47,Lost
Uttar Pradesh,Sant Kabir Nagar,RAM KRISHNA DWIVEDI,Independent,4509,0,4509,0.41,Lost
Uttar Pradesh,Sant Kabir Nagar,SATYVANT PRATAP SINGH,Independent,4351,7,4358,0.4,Lost
Uttar Pradesh,Sant Kabir Nagar,KULDEEP,Sardar Patel Siddhant Party,3591,4,3595,0.33,Lost
Uttar Pradesh,Sant Kabir Nagar,MITRASEN,Independent,2535,9,2544,0.23,Lost
Uttar Pradesh,Sant Kabir Nagar,RAJENDRA YADAV URF COLONEL SAHAB,Sarvjan Awaz Party,2229,10,2239,0.21,Lost
Uttar Pradesh,Sant Kabir Nagar,ANAND KUMAR GAUTAM,Independent,1840,10,1850,0.17,Lost
Uttar Pradesh,Sant Kabir Nagar,SUBHASH CHANDRA DUBEY,Naki Bharatiya Ekta Party,1702,6,1708,0.16,Lost
